INSTNM,STABBR
The University of Tennessee-Knoxville,TN
The University of Tennessee-Martin,TN
Fountainhead College of Technology,TN
Tennessee School of Beauty of Knoxville Inc,TN
Tennessee State University,TN
Tennessee Technological University,TN
Tennessee Temple University,NC
Trevecca Nazarene University,TN
Northeast State Community College,TN
Tusculum College,TN
Union University,TN
New Concepts School of Cosmetology,TN
Vanderbilt University,TN
Volunteer Beauty Academy-Dyersburg,TN
Volunteer State Community College,TN
Walters State Community College,TN
West Tennessee Business College,TN
William Moore College of Technology,TN
Abilene Christian University,TX
Alvin Community College,TX
Amarillo College,TX
Angelina College,TX
Angelo State University,TX
Arlington Baptist College,TX
Arlington Career Institute,TX
The Art Institute of Houston,TX
Austin College,TX
Austin Community College District,TX
Austin Presbyterian Theological Seminary,TX
Baldwin Beauty School-South Austin,TX
Baptist Health System School of Health Professions,TX
Baptist Missionary Association Theological Seminary,TX
Baylor College of Medicine,TX
Baylor University,TX
Coastal Bend College,TX
Blinn College,TX
Remington College-Dallas Campus,TX
Vet Tech Institute of Houston,TX
Brazosport College,TX
Brookhaven College,TX
Cedar Valley College,TX
Central Texas College,TX
Charles and Sues School of Hair Design,TX
Cisco College,TX
Clarendon College,TX
Concordia University-Texas,TX
Conlee's College of Cosmetology,TX
North Central Texas College,TX
Texas A & M University-Corpus Christi,TX
Cosmetology Career Center LLC,TX
Court Reporting Institute of Dallas,TX
Dallas Baptist University,TX
Dallas Christian College,TX
Dallas Institute of Funeral Service,TX
Dallas Theological Seminary,TX
University of Dallas,TX
Del Mar College,TX
Career Point College,TX
East Texas Baptist University,TX
Texas A & M University-Texarkana,TX
Texas A & M University-Commerce,TX
Eastfield College,TX
El Centro College,TX
El Paso Community College,TX
Western Technical College,TX
Western Technical College,TX
Exposito School of Hair Design,TX
South University-The Art Institute of Dallas,TX
Fort Worth Beauty School,TX
Frank Phillips College,TX
Galveston College,TX
Grayson College,TX
Hallmark University,TX
Hardin-Simmons University,TX
Trinity Valley Community College,TX
Hill College,TX
Houston Baptist University,TX
University of Houston-Clear Lake,TX
Houston Community College,TX
University of Houston-Downtown,TX
University of Houston-Victoria,TX
University of Houston,TX
Howard College,TX
Howard Payne University,TX
Huston-Tillotson University,TX
University of the Incarnate Word,TX
International Business College-El Paso,TX
International Business College-El Paso,TX
ITT Technical Institute-Arlington,TX
ITT Technical Institute-Houston West,TX
Jacksonville College-Main Campus,TX
Jarvis Christian College,TX
KD Conservatory College of Film and Dramatic Arts,TX
Kilgore College,TX
Lamar University,TX
Lamar State College-Orange,TX
Lamar State College-Port Arthur,TX
Laredo Beauty College Inc,TX
Laredo Community College,TX
Texas A & M International University,TX
Lee College,TX
LeTourneau University,TX
Lincoln College of Technology-Grand Prairie,TX
Lubbock Hair Academy,TX
Lubbock Christian University,TX
College of the Mainland,TX
University of Mary Hardin-Baylor,TX
McLennan Community College,TX
McMurry University,TX
Covenant School of Nursing and Allied Health,TX
Metroplex Beauty School,TX
Midland College,TX
Midwestern State University,TX
Mims Classic Beauty College,TX
Wade College,TX
Southern Careers Institute-Austin,TX
Mountain View College,TX
Everest Institute-San Antonio,TX
Tint School of Makeup and Cosmetology-Irving,TX
Navarro College,TX
Neilson Beauty College,TX
Lone Star College System,TX
North Lake College,TX
University of North Texas,TX
Northeast Texas Community College,TX
Northwood University-Texas,TX
Oblate School of Theology,TX
Ocean Corporation,TX
Odessa College,TX
Ogle School Hair Skin Nails-Arlington,TX
Ogle School Hair Skin Nails-Ft Worth,TX
Our Lady of the Lake University,TX
The University of Texas Rio Grande Valley,TX
The University of Texas at Brownsville,TX
Panola College,TX
Paris Junior College,TX
Paul Quinn College,TX
Prairie View A & M University,TX
Ranger College,TX
Aviation Institute of Maintenance-Houston,TX
Rice University,TX
Richland College,TX
Brightwood College-McAllen,TX
Saint Edward's University,TX
St Philip's College,TX
University of St Thomas,TX
Sam Houston State University,TX
San Antonio College,TX
San Jacinto Community College,TX
Schreiner University,TX
Seguin Beauty School-Seguin,TX
St Mary's University,TX
South Plains College,TX
South Texas Barber College Inc,TX
South Texas College of Law,TX
South Texas Vocational Technical Institute-Weslaco,TX
South Texas Vocational Technical Institute-McAllen,TX
Southern Methodist University,TX
Southwest School of Business and Technical Careers-San Antonio,TX
Southwest Texas Junior College,TX
Southwestern Assemblies of God University,TX
Southwestern University,TX
Stephen F Austin State University,TX
Texas State University,TX
Southwestern Adventist University,TX
Southwestern Christian College,TX
Sul Ross State University,TX
Tarleton State University,TX
Tarrant County College District,TX
Temple College,TX
University of Texas Southwestern Medical Center,TX
The University of Texas Health Science Center at San Antonio,TX
The University of Texas Medical Branch,TX
Texas State Technical College-Waco,TX
Texarkana College,TX
Texas A & M University-Kingsville,TX
Texas A & M University-College Station,TX
The University of Texas at Arlington,TX
The University of Texas at Austin,TX
The University of Texas at Dallas,TX
The University of Texas at El Paso,TX
The University of Texas at Tyler,TX
Texas Chiropractic College Foundation Inc,TX
Texas Christian University,TX
Texas College,TX
University of North Texas Health Science Center,TX
Texas Lutheran University,TX
The University of Texas of the Permian Basin,TX
The University of Texas at San Antonio,TX
Brightwood College-Houston,TX
Texas Southern University,TX
Texas Tech University,TX
Texas Vocational Schools Inc,TX
Texas Wesleyan University,TX
Texas Woman's University,TX
Trinity University,TX
The University of Texas Health Science Center at Houston,TX
Texas State Technical College-Harlingen,TX
Texas State Technical College-West Texas,TX
Texas Tech University Health Sciences Center,TX
Tyler Junior College,TX
Universal Technical Institute of Texas Inc.,TX
University of Cosmetology Arts & Sciences-McAllen,TX
Vernon College,TX
Victoria Beauty College Inc,TX
Victoria College,TX
Vogue College of Cosmetology-McAllen,TX
Wayland Baptist University,TX
Weatherford College,TX
West Texas A & M University,TX
Western Texas College,TX
Wharton County Junior College,TX
Wiley College,TX
AmeriTech College-Provo,UT
Bridgerland Applied Technology College,UT
Brigham Young University-Provo,UT
Brigham Young University-Hawaii,HI
Broadview University-West Jordan,UT
Cameo College of Essential Beauty,UT
Sherman Kendall Academy-Salt Lake City,UT
Sherman Kendall Academy-Midvale,UT
Davis Applied Technology College,UT
Dixie State University,UT
Evans Hairstyling College-Cedar City,UT
Evans Hairstyling College-St George,UT
Paul Mitchell the School-Salt Lake City,UT
Eagle Gate College-Murray,UT
ITT Technical Institute-Murray,UT
Latter-day Saints Business College,UT
Everest College-Salt Lake City,UT
Ogden-Weber Applied Technology College,UT
Snow College,UT
Southern Utah University,UT
Stevens-Henager College,UT
Stevens-Henager College,UT
Uintah Basin Applied Technology College,UT
Utah State University,UT
Utah Valley University,UT
Salt Lake Community College,UT
University of Utah,UT
Weber State University,UT
Westminster College,UT
Bennington College,VT
Burlington College,VT
Castleton University,VT
Champlain College,VT
Community College of Vermont,VT
Goddard College,VT
Green Mountain College,VT
Johnson State College,VT
Lyndon State College,VT
Marlboro College,VT
Middlebury College,VT
New England Culinary Institute,VT
Norwich University,VT
O'Briens Aveda Institute,VT
Saint Michael's College,VT
SIT Graduate Institute,VT
College of St Joseph,VT
Southern Vermont College,VT
Sterling College,VT
Vermont Law School,VT
Vermont Technical College,VT
University of Vermont,VT
Bar Palma Beauty Careers Academy,VA
Advanced Technology Institute,VA
Averett University,VA
Blue Ridge Community College,VA
Bluefield College,VA
Bridgewater College,VA
College of William and Mary,VA
Regent University,VA
Central School of Practical Nursing,VA
Central Virginia Community College,VA
Christopher Newport University,VA
Suffolk Beauty Academy,VA
Bryant & Stratton College-Virginia Beach,VA
Bryant & Stratton College-Richmond,VA
Jefferson College of Health Sciences,VA
Dabney S Lancaster Community College,VA
Danville Community College,VA
Eastern Virginia Medical School,VA
Centura College-Virginia Beach,VA
Emory & Henry College,VA
Eastern Mennonite University,VA
Eastern Shore Community College,VA
Ferrum College,VA
George Mason University,VA
Germanna Community College,VA
Hampden-Sydney College,VA
Hampton University,VA
Hollins University,VA
J Sargeant Reynolds Community College,VA
James Madison University,VA
John Tyler Community College,VA
Everest College-Newport News,VA
Liberty University,VA
Longwood University,VA
Lord Fairfax Community College,VA
Lynchburg College,VA
Centra College of Nursing,VA
Mary Baldwin College,VA
University of Mary Washington,VA
Marymount University,VA
Danville Regional Medical Center School of Health Professions,VA
Mountain Empire Community College,VA
American National University,VA
New River Community College,VA
Sentara College of Health Sciences,VA
Tidewater Tech-Trades,VA
Norfolk State University,VA
Northern Virginia Community College,VA
Old Dominion University,VA
Patrick Henry Community College,VA
Paul D Camp Community College,VA
Southside Regional Medical Center Professional Schools,VA
Miller-Motte Technical College-Lynchburg,VA
Piedmont Virginia Community College,VA
Radford University,VA
Sylvain Melloul International Hair Academy,VA
Randolph-Macon College,VA
Randolph College,VA
Rappahannock Community College,VA
Fortis College-Norfolk,VA
Richard Bland College of the College of William and Mary,VA
Bon Secours Memorial College of Nursing,VA
University of Richmond,VA
Riverside College of Health Careers,VA
Roanoke College,VA
Bon Secours St Mary's Hospital School of Medical Imaging,VA
Shenandoah University,VA
Southern Virginia University,VA
Southside Virginia Community College,VA
Southwest Virginia Community College,VA
Springfield Beauty Academy,VA
Staunton School of Cosmetology,VA
Strayer University-Virginia,VA
Sweet Briar College,VA
Thomas Nelson Community College,VA
Tidewater Community College,VA
Union Presbyterian Seminary,VA
The University of Virginia's College at Wise,VA
Virginia Highlands Community College,VA
Virginia Polytechnic Institute and State University,VA
Virginia Western Community College,VA
Virginia Commonwealth University,VA
University of Virginia-Main Campus,VA
Virginia Military Institute,VA
Virginia School of Hair Design,VA
Virginia University of Lynchburg,VA
Virginia State University,VA
Virginia Union University,VA
Virginia Wesleyan College,VA
Wards Corner Beauty Academy-Norfolk,VA
Washington and Lee University,VA
Sanford-Brown College-Tysons Corner,VA
Washington County Adult Skill Center,VA
Wilson Workforce and Rehabilitation Center,VA
Wytheville Community College,VA
Beauty Academy,WA
The Art Institute of Seattle,WA
Evergreen Beauty and Barber College-Bellevue,WA
Bellevue College,WA
Bellingham Technical College,WA
Big Bend Community College,WA
Everest College-Bremerton,WA
Everest College-Renton,WA
Central Washington University,WA
Centralia College,WA
City University of Seattle,WA
Paul Mitchell the School-Richland,WA
Clark College,WA
Clover Park Technical College,WA
Columbia Basin College,WA
Cornish College of the Arts,WA
Divers Institute of Technology,WA
Eastern Washington University,WA
Edmonds Community College,WA
Everett Community College,WA
Paroba College of Cosmetology,WA
The Evergreen State College,WA
Pierce College-Fort Steilacoom,WA
Glen Dow Academy of Hair Design,WA
Gonzaga University,WA
Grays Harbor College,WA
Green River College,WA
Heritage University,WA
Highline College,WA
Interface College-Spokane,WA
International Air and Hospitality Academy,WA
ITT Technical Institute-Seattle,WA
ITT Technical Institute-Spokane Valley,WA
Bastyr University,WA
Gene Juarez Academy of Beauty-Mountlake Terrace,WA
Bates Technical College,WA
Lake Washington Institute of Technology,WA
Lower Columbia College,WA
Trinity Lutheran College,WA
BJ's Beauty & Barber College,WA
BJ's Beauty & Barber College,WA
Northwest Hair Academy,WA
North Seattle College,WA
Northwest University,WA
Olympic College,WA
Perry Technical Institute,WA
Pacific Lutheran University,WA
Peninsula College,WA
University of Puget Sound,WA
Renton Technical College,WA
Saint Martin's University,WA
South Seattle College,WA
Seattle Central College,WA
Everest College-Seattle,WA
Seattle Pacific University,WA
Seattle University,WA
Shoreline Community College,WA
Skagit Valley College,WA
South Puget Sound Community College,WA
Spokane Community College,WA
Spokane Falls Community College,WA
Stylemaster College of Hair Design,WA
Tacoma Community College,WA
Walla Walla Community College,WA
Walla Walla University,WA
Washington State University,WA
University of Washington-Seattle Campus,WA
Wenatchee Valley College,WA
Everest College-Vancouver,WA
Western Washington University,WA
Whatcom Community College,WA
Whitman College,WA
Whitworth University,WA
Yakima Valley Community College,WA
Alderson Broaddus University,WV
Appalachian Beauty School,KY
Appalachian Bible College,WV
B M Spurr School of Practical Nursing,WV
Ben Franklin Career Center,WV
Bethany College,WV
Bluefield State College,WV
Cabell County Career Technology Center,WV
Charleston School of Beauty Culture,WV
University of Charleston,WV
Clarksburg Beauty Academy and School of Massage Therapy,WV
Concord University,WV
Davis & Elkins College,WV
Fairmont State University,WV
Glenville State College,WV
Huntington Junior College,WV
James Rumsey Technical Institute,WV
Ralph R Willis Career and Technical Center,WV
Marshall University,WV
Mercer County Technical Education Center,WV
Meredith Manor International Equestrian Center,WV
Monongalia County Technical Education Center,WV
Morgantown Beauty College Inc,WV
Mountain State College,WV
Everest Institute-Cross Lanes,WV
Opportunities Industrialization Center,WV
Ohio Valley University,WV
West Virginia University at Parkersburg,WV
Potomac State College of West Virginia University,WV
Academy of Careers and Technology,WV
Salem International University,WV
Shepherd University,WV
Southern West Virginia Community and Technical College,WV
Fred W Eberle Technical Center,WV
West Virginia School of Osteopathic Medicine,WV
West Virginia State University,WV
West Virginia University Hospital Departments of Rad Tech and Nutrition,WV
West Liberty University,WV
West Virginia University Institute of Technology,WV
West Virginia Wesleyan College,WV
West Virginia Business College-Wheeling,WV
West Virginia Junior College-Charleston,WV
West Virginia Junior College-Morgantown,WV
International Beauty School 4,WV
West Virginia Northern Community College,WV
West Virginia University,WV
Wheeling Jesuit University,WV
Wood County School of Practical Nursing,WV
Advanced Institute of Hair Design-Glendale,WI
VICI Aveda Institute,WI
Alverno College,WI
Madison Area Technical College,WI
Bellin College,WI
Beloit College,WI
Blackhawk Technical College,WI
Cardinal Stritch University,WI
Carroll University,WI
Carthage College,WI
Columbia College of Nursing,WI
Concordia University-Wisconsin,WI
Edgewood College,WI
Fox Valley Technical College,WI
Gateway Technical College,WI
Gill-Tech Academy of Hair Design,WI
The Salon Professional Academy-Eau Claire,WI
ITT Technical Institute-Greenfield,WI
Lakeland College,WI
Lakeshore Technical College,WI
Lawrence University,WI
Maranatha Baptist University,WI
Marian University,WI
Marquette University,WI
Medical College of Wisconsin,WI
Mid-State Technical College,WI
Milwaukee Area Technical College,WI
Milwaukee Institute of Art & Design,WI
Milwaukee School of Engineering,WI
Moraine Park Technical College,WI
Mount Mary University,WI
Nashotah House,WI
Nicolet Area Technical College,WI
Northcentral Technical College,WI
Northeast Wisconsin Technical College,WI
Northland International University,WI
Northland College,WI
Ripon College,WI
Sacred Heart School of Theology,WI
Saint Norbert College,WI
Silver Lake College of the Holy Family,WI
State College of Beauty Culture Inc,WI
Southwest Wisconsin Technical College,WI
Bryant & Stratton College-Milwaukee,WI
University of Wisconsin Colleges,WI
Viterbo University,WI
Chippewa Valley Technical College,WI
Waukesha County Technical College,WI
Western Technical College,WI
University of Wisconsin-Whitewater,WI
Wisconsin Indianhead Technical College,WI
Wisconsin School of Professional Psychology,WI
Paul Mitchell the School-Green Bay,WI
University of Wisconsin-Eau Claire,WI
University of Wisconsin-Green Bay,WI
University of Wisconsin-La Crosse,WI
Wisconsin Lutheran College,WI
University of Wisconsin-Oshkosh,WI
University of Wisconsin-Parkside,WI
Herzing University-Madison,WI
University of Wisconsin-Stout,WI
University of Wisconsin-Superior,WI
University of Wisconsin-Madison,WI
University of Wisconsin-Milwaukee,WI
University of Wisconsin-Platteville,WI
University of Wisconsin-River Falls,WI
University of Wisconsin-Stevens Point,WI
Casper College,WY
Central Wyoming College,WY
Eastern Wyoming College,WY
Laramie County Community College,WY
Northwest College,WY
Sheridan College,WY
Western Wyoming Community College,WY
Cheeks International Academy of Beauty Culture-Cheyenne,WY
Wyotech-Laramie,WY
University of Wyoming,WY
American Samoa Community College,AS
Guam Community College,GU
University of Guam,GU
Northern Marianas College,MP
Institute of Beauty Careers,PR
Educational Technical College-Recinto de Bayamon,PR
American University of Puerto Rico,PR
American University of Puerto Rico,PR
American Educational College,PR
Antilles School of Technical Careers,PR
Universidad Adventista de las Antillas,PR
Atlantic University College,PR
Universidad Central de Bayamon,PR
Columbia Central University-Caguas,PR
Carlos Albizu University-San Juan,PR
Caribbean University-Bayamon,PR
Caribbean University-Carolina,PR
Pontifical Catholic University of Puerto Rico-Arecibo,PR
Pontifical Catholic University of Puerto Rico-Ponce,PR
Centro de Estudios Multidisciplinarios-San Juan,PR
Universidad Teologica del Caribe,PR
Colegio Universitario de San Juan,PR
Universidad Metropolitana,PR
Puerto Rico Conservatory of Music,PR
Center for Advanced Studies On Puerto Rico and the Caribbean,PR
EDP University of Puerto Rico Inc-San Sebastian,PR
Emma's Beauty Academy-Mayaguez,PR
Escuela de Artes Plasticas y Diseno de Puerto Rico,PR
Instituto Tecnologico de Puerto Rico-Recinto de Manati,PR
Huertas College,PR
Humacao Community College,PR
ICPR Junior College-Arecibo,PR
ICPR Junior College-Mayaguez,PR
Instituto de Educacion Tecnica Ocupacional La Reine-Manati,PR
Hispanic American College,PR
Instituto de Banca y Comercio Inc,PR
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,PR
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,PR
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,PR
Inter American University of Puerto Rico-San German,PR
Inter American University of Puerto Rico-Aguadilla,PR
Inter American University of Puerto Rico-Arecibo,PR
Inter American University of Puerto Rico-Barranquitas,PR
Inter American University of Puerto Rico-Metro,PR
Inter American University of Puerto Rico-Ponce,PR
Inter American University of Puerto Rico-Fajardo,PR
Inter American University of Puerto Rico-Guayama,PR
Inter American University of Puerto Rico-Bayamon,PR
Inter American University of Puerto Rico-School of Law,PR
International Technical College,PR
Liceo de Arte y Tecnologia,PR
MBTI Business Training Institute,PR
Modern Hairstyling Institute-Bayamon,PR
Modern Hairstyling Institute-Arecibo,PR
National University College-Bayamon,PR
National University College-Arecibo,PR
Ponce Paramedical College Inc,PR
Ponce School of Medicine and Health Sciences,PR
University of Puerto Rico-Aguadilla,PR
University of Puerto Rico-Arecibo,PR
University of Puerto Rico-Bayamon,PR
University of Puerto Rico-Carolina,PR
University of Puerto Rico-Cayey,PR
University of Puerto Rico-Humacao,PR
University of Puerto Rico-Utuado,PR
University of Puerto Rico-Mayaguez,PR
University of Puerto Rico-Medical Sciences,PR
University of Puerto Rico-Ponce,PR
University of Puerto Rico-Rio Piedras,PR
Universidad Del Este,PR
Ryder Memorial School for Practical Nursing,PR
Universidad del Sagrado Corazon,PR
Seminario Evangelico de Puerto Rico,PR
Universidad Central Del Caribe,PR
Universidad Politecnica de Puerto Rico,PR
Pontifical Catholic University of Puerto Rico-Mayaguez,PR
Universidad Del Turabo,PR
College of Micronesia-FSM,FM
Palau Community College,PW
University of the Virgin Islands,VI
Stanford University,CA
Purdue University-Main Campus,IN
Blue Hills Regional Technical School,MA
Parker University,TX
EDP Univeristy of Puerto Rico Inc-San Juan,PR
ICPR Junior College-General Institutional,PR
ITT Technical Institute-Sylmar,CA
ITT Technical Institute-Westminster,CO
Widener University-Delaware Law School,DE
City College-Fort Lauderdale,FL
Meridian College,FL
Georgia Perimeter College,GA
Georgia Piedmont Technical College,GA
The Beauty Institute Schwarzkopf Professional - Coeur D'Alene,ID
Cortiva Institute-Chicago,IL
ETI School of Skilled Trades,IL
Trend Setters' Academy of Beauty Culture-Elizabethtown,KY
Traxlers School of Hair,MS
Infinity Career College,MS
Vatterott College-Berkeley,MO
Metro Business College-Rolla,MO
Metro Business College-Jefferson City,MO
Warren County Community College,NJ
St. John's College,NM
Yeshiva and Kollel Harbotzas Torah,NY
Bais Medrash Elyon,NY
Antioch University-Los Angeles,CA
Antioch University-Santa Barbara,CA
Antioch University-New England,NH
Antioch University-Seattle,WA
Antioch University-Midwest,OH
Mid-America Christian University,OK
Platt College-Tulsa,OK
Ponca City Beauty College,OK
Francis Tuttle Technology Center,OK
Career Point College,OK
Central Technology Center,OK
Carrington College-Portland,OR
Career Technology Center of Lackawanna County,PA
Brightwood College-Nashville,TN
Brightwood College-El Paso,TX
Houston Graduate School of Theology,TX
Palo Alto College,TX
Sebring Career Schools-Huntsville,TX
University of Cosmetology Arts & Sciences-San Antonio Perrin,TX
Central Texas Beauty College-Round Rock,TX
Empire Beauty School-Manitowoc,WI
Unification Theological Seminary,NY
Athens Technical College,GA
Maricopa Skill Center,AZ
Carrington College-San Leandro,CA
Headmasters School of Hair Design,ID
Razzle Dazzle College of Hair Design Inc,ID
Beckfield College-Florence,KY
Dorsey Business Schools-Wayne,MI
Ecumenical Theological Seminary,MI
Ross Medical Education Center-Saginaw,MI
Sussex County Community College,NJ
Landmark College,VT
National American University-Independence,MO
Yeshiva Gedolah of Greater Detroit,MI
Austin Graduate School of Theology,TX
Collin County Community College District,TX
Owensboro Community and Technical College,KY
Heads West Kentucky Beauty College,KY
Jenny Lea Academy of Cosmetology,KY
Empire Beauty School-Hurstborne,KY
Southeast School of Cosmetology,KY
Cloyd's Beauty School 3 Inc,LA
Moore Norman Technology Center,OK
Fayette County Career & Technical Institute Practical Nursing Program,PA
Franklin County Career and Technology Center,PA
Paul Mitchell the School-Knoxville,TN
Ogle School Hair Skin Nails-Hurst,TX
Fashion Institute of Design & Merchandising-San Diego,CA
National American University-Albuquerque,NM
Tennessee College of Applied Technology Nashville,TN
ECPI University,VA
Branford Hall Career Institute-Jersey City,NJ
Paul Mitchell the School-Houston,TX
TDDS Technical Institute,OH
Fortis Institute-Forty Fort,PA
Laurel Business Institute,PA
Antonelli Medical and Professional Institute,PA
Aviation Institute of Maintenance-Philadelphia,PA
Fortis Institute-Mulberry,FL
Carrington College-Westside,AZ
Dorsey Business Schools-Roseville,MI
Moler-Pickens Beauty Academy,OH
Red River Technology Center,OK
Brightwood Career Institute-Harrisburg,PA
ITT Technical Institute-Newburgh,IN
Southern Union State Community College,AL
South University-Columbia,SC
Everest University-Brandon,FL
Clinton Technical School,MO
Consolidated School of Business-Lancaster,PA
Greene County Career and Technology Center,PA
Lac Courte Oreilles Ojibwa Community College,WI
Diesel Driving Academy-Shreveport,LA
Pima Medical Institute-Mesa,AZ
Platt College-Los Angeles,CA
Platt College-Aurora,CO
Kaplan University-Davenport Campus,IA
Kaplan University-Cedar Falls Campus,IA
Paul Mitchell the School-Boise,ID
Christian Life College,IL
Knowledge Systems Institute,IL
Educators of Beauty College of Cosmetology-Rockford,IL
ITT Technical Institute-Arlington Heights,IL
Northwestern College-Southwestern Campus,IL
Tulsa Technology Center-Lemley Campus,OK
Tulsa Technology Center-Riverside Campus,OK
Tulsa Technology Center-Broken Arrow Campus,OK
Douglas J Aveda Institute,MI
ITT Technical Institute-Troy,MI
Ross Medical Education Center-Brighton,MI
Ross Medical Education Center-Ann Arbor,MI
Taylortown School of Beauty Inc,MI
Pike-Lincoln Technical Center,MO
Pennsylvania Institute of Health and Technology,PA
Skyline College-Roanoke,VA
Bethel Seminary-San Diego,CA
St Charles Community College,MO
Brandman University,CA
New College of Florida,FL
Arizona Academy of Beauty-North,AZ
Empire Beauty School-Prescott,AZ
Le Cordon Bleu College of Culinary Arts-Scottsdale,AZ
Conservatory of Recording Arts and Sciences,AZ
Adrian's College of Beauty Turlock,CA
California Career School,CA
Rolf Institute of Structural Integration,CO
Heritage College-Denver,CO
Empire Beauty School-Highland,KY
Sunstate Academy,FL
Elizabeth Grady School of Esthetics and Massage Therapy,MA
Ross Medical Education Center-Port Huron,MI
Capri Institute of Hair Design-Clifton,NJ
Raphael's School of Beauty Culture Inc-Alliance,OH
Metro Technology Centers,OK
Heald College-Roseville,CA
Daymar College-Bowling Green,KY
Everest College-Everett,WA
Luna Community College,NM
Grabber School of Hair Design,MO
Yeshivah Gedolah Rabbinical College,FL
University of the District of Columbia-David A Clarke School of Law,DC
Raphael's School of Beauty Culture Inc-Brunswick,OH
Caribbean University-Ponce,PR
Caribbean University-Vega Baja,PR
University of Advancing Technology,AZ
Paradise Valley Community College,AZ
Chandler-Gilbert Community College,AZ
HSHS St. John's Hospital School of Clinical Laboratory Science,IL
Madison Media Institute,WI
Sanford-Brown Institute-White Plains,NY
Sanford-Brown Institute-Garden City,NY
Great Plains Technology Center,OK
Roane-Jackson Technical Center,WV
Total Cosmetology Training Center,WA
Pioneer Technology Center,OK
Portage Lakes Career Center,OH
Eastern College of Health Vocations-New Orleans,LA
Bell Mar Beauty College,IL
Cannella School of Hair Design-Chicago,IL
Caddo Kiowa Technology Center,OK
Brightwood College-San Antonio-San Pedro,TX
Center for Instruction Technology & Innovation (CiTi),NY
Le Cordon Bleu College of Culinary Arts-Austin,TX
The Art Institute of New York City,NY
Paris II Educational Center,MO
International School of Skin Nailcare & Massage Therapy,GA
Palomar Institute of Cosmetology,CA
Southern Oklahoma Technology Center,OK
Vista College,TX
Autry Technology Center,OK
Greene County Vocational School District,OH
Canadian Valley Technology Center,OK
Wilkes-Barre Area Career and Technical Center Practical Nursing,PA
Mayo Graduate School,MN
Meridian Technology Center,OK
Waynesville Career Center,MO
Connecticut Institute of Hair Design,CT
Capitol School of Hairstyling and Esthetics,NE
Morris County Vocational School District,NJ
Ross Medical Education Center-Roosevelt Park,MI
Ross Medical Education Center-Kentwood,MI
South Florida Bible College and Theological Seminary,FL
Cloyd's Barber School 2 Inc,LA
Universal Technical Institute of Illinois Inc,IL
Pennsylvania College of Technology,PA
Commonwealth Institute of Funeral Service,TX
Delta College of Arts & Technology,LA
InterCoast Colleges-Orange,CA
Stone Child College,MT
New York Academy of Art,NY
Suffolk County Community College,NY
Las Positas College,CA
Blades School of Hair Design,MD
Ogeechee Technical College,GA
Remington College-Mobile Campus,AL
Everest College-Aurora,CO
Southern Technical College,FL
Mercy-St Luke's School of Radiologic Technology,IA
ITT Technical Institute-Norwood,MA
Southwest Acupuncture College-Santa Fe,NM
Northwest Technology Center-Alva,OK
Mercer County Career Center,PA
ITT Technical Institute-Knoxville,TN
ITT Technical Institute-Austin,TX
ITT Technical Institute-Houston North,TX
California State University-San Marcos,CA
Argosy University-Hawaii,HI
Baptist Theological Seminary at Richmond,VA
Brightwood College-Modesto,CA
Kaplan University-Des Moines Campus,IA
Hairmasters Institute of Cosmetology,IL
Tricoci University of Beauty Cuture LLC-Bloomington,IN
Pinnacle Career Institute-Lawrence,KS
Interactive College of Technology-Newport,KY
Career Technical College-Monroe,LA
Empire Beauty School-Lowell,MA
Ross Medical Education Center-Taylor,MI
McNally Smith College of Music,MN
National Tractor Trailer School Inc-Liverpool,NY
Interactive College of Technology,TX
Star Career Academy_Brick,NJ
New Castle Beauty Academy,PA
NorthWest Arkansas Community College,AR
Madera Beauty College,CA
Colorado Heights University,CO
Brewster Technical College,FL
Hodges University,FL
Everest University-Lakeland,FL
Argosy University-Atlanta,GA
University of St Augustine for Health Sciences,CA
Capital Area School of Practical Nursing,IL
Hair Professionals Career College,IL
Alexandria School of Scientific Therapeutics,IN
Empire Beauty School-Bloomfield,NJ
Southwest Technology Center,OK
Western Area Career & Technology Center,PA
Daymar Institute-Clarksville,TN
Nossi College of Art,TN
Seguin Beauty School-New Braunfels,TX
ITT Technical Institute-Norfolk,VA
Pima Medical Institute-Seattle,WA
Mineral County Vocational Technical Center,WV
Hypnosis Motivation Institute,CA
Los Angeles ORT College-Los Angeles Campus,CA
Everest College-West Los Angeles,CA
Thanh Le College School of Cosmetology,CA
Southeastern Technical College,GA
Massachusetts School of Law,MA
ITT Technical Institute-Albuquerque,NM
Community Services Division-Alliance City,OH
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,FL
Erwin Technical College,FL
Rosel School of Cosmetology,IL
Worsham College of Mortuary Science,IL
Bryan University,MO
Oregon College of Oriental Medicine,OR
Central Pennsylvania Institute of Science and Technology,PA
Northwest Educational Center,TX
Sebring Career Schools-Houston,TX
PCI Health Training Center,TX
Windham Memorial Hospital-Radiologic Technology Program,CT
Miami-Jacobs Career College-Columbus,OH
Bryant & Stratton College-Eastlake,OH
Hamrick School,OH
Alabama State College of Barber Styling,AL
Fortis College-Mobile,AL
Arkansas Beauty School,AR
Everest College-Ontario,CA
Downey Adult School,CA
Heald College-Stockton,CA
Heald College-Hayward,CA
CRU Institute,CA
Modern Technology School,CA
National Career Education,CA
